1,48.88,Xu Jiayu,,,,CHN,,2018 World Cup - Toyko,,,,11/11/2018,,Tokyo,,
2,48.90,Kliment Kolesnikov,,,,RUS,,,,,,12/22/2017,,St-Peterburg,,
3,48.92,Matt Grevers,,,,USA,,Mutual of Omaha Duel in the Pool,,,,12/12/2015,,Indianapolis,,
4,48.94,Nick Thoman,,,,USA,,Top Times (personal best),,,,12/18/2009,,Manchester,,
5,48.97,Stanislav Donets,,,,RUS,,,,,,12/13/2009,,,,
5,48.97,Arkady Vyatchanin,,,,RUS,,,,,,12/13/2009,,,,
7,49.17,Arkady Vyatchanin,,,,RUS,,,,,,12/12/2009,,,,
8,49.20,Aschwin Wildeboer ,,,,ESP,,,,,,12/21/2008,,,,
,,Faber,,,,,,,,,,,,,,
9,49.32,Stanislav Donets,,,,RUS,,,,,,12/14/2008,,,,
10,49.63,Peter Marshall,,,,USA,,,,,,11/15/2008,,,,
11,49.94,Peter Marshall,,,,USA,,,,,,11/11/2008,,,,
12,49.99,Ryan Lochte,,,,USA,,,,,,4/9/2006,,,,
13,50.32,Peter Marshall,,,,USA,,,,,,3/26/2004,,,,
14,50.58,Thomas Rupprath,,,,GER,,,,,,12/8/2002,,,,
15,50.75,Neil Walker,,,,USA,,,,,,3/19/2000,,,,
16,51.28,Lenny Krayzelburg,,,,USA,,,,,,2/5/2000,,,,
17,51.43,Jeff Rouse,,,,USA,,,,,,4/12/1993,,,,
18,52.50,Mark Tewksbury,,,,CAN,,,,,,2/22/1992,,,,
19,52.58,Mark Tewksbury,,,,CAN,,,,,,3/30/1991,,,,
20,52.71,Mark Tewksbury,,,,CAN,,,,,,3/17/1991,,,,
,,,,,,,,,,,,,,,,
Women's 100 BK SCM,,,,,,,,,,,,,,,,
1,54.89,Minna Atherton,,,,AUS,,,,,,10/27/2019,,Budapest,,
2,55.03,Katinka Hosszu,,,,HUN,,2014 SCM World Champs ,,,,12/4/2014,,Doha,,
3,55.23,Shiho Sakai,,,,JPN,,FINA/ARENA Swimming World Cup ,,,,11/15/2009,,Berlin,,
,,,,,,,,2009,,,,,,,,
4,56.15,Shiho Sakai,,,,JPN,,,,,,2/22/2009,,,,
5,56.51,Natalie Hall,,,,USA,,,,,,10/28/2007,,,,
6,56.71,Natalie Hall,,,,USA,,,,,,11/23/2002,,,,
7,57.08,Natalie Hall,,,,,,,,,,11/28/2001,,,,
8,58.45,Mai Nakamura,,,,JPN,,,,,,3/4/2001,,,,
9,58.50,Angel Martino,,,,USA,,,,,,12/3/1993,,,,
10,59.41,Angel Martino,,,,USA,,,,,,11/20/1993,,,,
,,,,,,,,,,,,,,,,
Men's 200 BK SCM,,,,,,,,,,,,,,,,
1,1:45.63,Mitch Larkin,,,,AUS,,2015 Hancock Prospecting Austr,,,,11/27/2015,,Sydney,,
2,1:46.11,Arkady Vyatchanin,,,,RUS,,FINA/ARENA Swimming World Cup ,,,,11/15/2009,,Berlin,,
,,,,,,,,2009,,,,,,,,
3,1:47.08,George du Rand,,,,RSA,,,,,,11/7/2009,,,,
4,1:47.84,Markus Rogan,,,,AUT,,,,,,4/13/2008,,,,
5,1:49.05,Ryan Lochte,,,,USA,,,,,,4/9/2006,,,,
6,1:50.52,Aaron Peirsol,,,,USA,,,,,,10/11/2004,,,,
7,1:50.64,Aaron Peirsol,,,,USA,,,,,,3/27/2004,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,5,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Men's 200 BK SCM,,,,,,,,,,,,,,,,
8,1:51.17,Aaron Peirsol,,,,USA,,,,,,4/7/2002,,,,
9,1:51.62,Gordan Kozulj,,,,CRO,,,,,,1/21/2001,,,,
9,1:51.62,Matt Welsh,,,,AUS,,,,,,10/13/2000,,,,
11,1:52.43,Lenny Krayzelburg,,,,USA,,,,,,2/6/2000,,,,
12,1:52.47,Lenny Krayzelburg,,,,USA,,,,,,11/18/1999,,,,
13,1:52.51,Martin Zubero,,,,ESP,,,,,,4/10/1991,,,,
,,,,,,,,,,,,,,,,
Women's 200 BK SCM,,,,,,,,,,,,,,,,
1,1:59.23,Katinka Hosszu,,,,HUN,,2014 SCM World Champs ,,,,12/5/2014,,Doha,,
2,2:00.03,Missy Franklin Johnson,,,,USA,,2011 World Cup - Berlin,,,,10/22/2011,,Berlin,,
3,2:00.18,Shiho Sakai,,,,JPN,,,,,,12/14/2009,,,,
4,2:00.91,Kirsty Coventry,,,,ZIM,,,,,,4/11/2008,,,,
5,2:03.24,Reiko Nakamura,,,,JPN,,,,,,2/23/2008,,,,
6,2:03.62,Natalie Hall,,,,USA,,,,,,11/27/2001,,,,
7,2:04.44,Sarah Price,,,,GBR,,,,,,8/6/2001,,,,
8,2:05.83,Clementine Stoney,,,,AUS,,,,,,8/6/2001,,,,
9,2:06.09,He Cihong,,,,CHN,,,,,,12/5/1993,,,,
10,2:06.78,Nicole Stevenson,,,,AUS,,,,,,3/7/1992,,,,
11,2:07.11,Anna Simcic,,,,NZL,,,,,,2/1/1992,,,,
,,,,,,,,,,,,,,,,
Men's 50 BR SCM,,,,,,,,,,,,,,,,
1,25.25,Cameron van der Burgh,,,,RSA,,,,,,11/14/2009,,Berlin,,
2,25.43,Cameron van der Burgh,,,,USA,,,,,,8/8/2009,,,,
3,25.94,Cameron van der Burgh,,,,RSA,,,,,,11/11/2008,,,,
4,26.08,Cameron van der Burgh,,,,RSA,,,,,,11/8/2008,,,,
5,26.17,Oleg Lisogor,,,,UKR,,,,,,1/21/2006,,,,
6,26.20,Oleg Lisogor,,,,UKR,,,,,,1/26/2002,,,,
7,26.28,Ed Moses,,,,USA,,,,,,1/22/2002,,,,
8,26.70,Mark Warnecke,,,,GER,,,,,,12/11/1998,,,,
9,26.97,Mark Warnecke,,,,GER,,,,,,2/8/1997,,,,
9,26.97,Mark Warnecke,,,,GER,,,,,,1/21/1998,,,,
9,26.97,Mark Warnecke,,,,GER,,,,,,3/28/1998,,,,
9,26.97,Mark Warnecke,,,,GER,,,,,,11/17/1998,,,,
13,27.00,Mark Warnecke,,,,GER,,,,,,2/18/1995,,,,
,,,,,,,,,,,,,,,,
Women's 50 BR SCM,,,,,,,,,,,,,,,,
1,28.56,Alia Atkinson,,,,JAM,,2018 World Cup - Budapest,,,,10/6/2018,,Budapest,,
2,28.64,Alia Atkinson,,,,JAM,,2016 World Cup - Tokyo,,,,10/26/2016,,Tokyo,,
3,28.80,Jessica Meichtry,,,,USA,,,,,,11/15/2009,,Berlin,,
4,28.96,Jessica Meichtry,,,,USA,,,,,,11/11/2009,,,,
5,29.36,Jessica Meichtry,,,,USA,,,,,,11/7/2009,,,,
6,29.45,Jessica Meichtry,,,,USA,,,,,,10/17/2009,,,,
7,29.58,Jessica Meichtry,,,,USA,,,,,,4/10/2008,,,,
