Rank,Time,Athlete,Country,Meet Name,Date,Location
22,1:50.29,Bruce Furniss,USA,,7/19/1976,Montreal
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,4
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 200 FR LCM,,,,,,
23,1:50.32,Bruce Furniss,USA,,8/21/1975,Kansas City
24,1:50.89,Bruce Furniss,USA,,6/18/1975,Long Beach
25,1:51.41,Bruce Furniss,USA,,6/18/1975,Long Beach
26,1:51.66,Tim Shaw,USA,,8/23/1974,Concord
27,1:52.78,Mark Spitz,USA,,8/29/1972,Munich
28,1:53.50,Mark Spitz,USA,,9/10/1971,Minsk
29,1:54.20,Mark Spitz,USA,,9/4/1971,Leipzip
30,1:54.30,Don Schollander,USA,,8/30/1968,Long Beach
30,1:54.30,Mark Spitz,USA,,7/12/1969,Santa Clara
32,1:54.80,Don Schollander,USA,,8/30/1968,Long Beach
33,1:55.70,Don Schollander,USA,,8/12/1967,Oak Park
34,1:56.00,Don Schollander,USA,,7/29/1967,Winnipeg
35,1:56.20,Don Schollander,USA,,8/19/1966,Lincoln
36,1:57.20,Don Schollander,USA,,7/29/1966,Los Angles
37,1:57.60,Don Schollander,USA,,8/1/1964,Los Altos
38,1:58.20,Hans-Joachim Klein,GER,,5/24/1964,Dortmund
39,1:58.40,Don Schollander,USA,,8/24/1963,Osaka
40,1:58.50,Don Schollander,USA,,8/17/1963,Tokyo
41,1:58.80,Don Schollander,USA,,7/27/1963,Los Angeles
42,2:00.30,Robert Windle,AUS,,4/21/1963,Tokyo
43,2:00.40,Don Schollander,USA,,8/11/1962,Cuyahoga Falls
,,,,,,
Women's 200 FR LCM,,,,,,
1,1:52.98,Federica Pellegrini,ITA,2009 World Champs ,7/29/2009,Rome
2,1:53.67,Federica Pellegrini,ITA,,7/28/2009,Rome
3,1:54.47,Federica Pellegrini,ITA,2009 ITA Champs,3/8/2009,Riccione
4,1:54.82,Federica Pellegrini,ITA,2008 Olympic Games,8/9/2008,Beijing
5,1:55.45,Federica Pellegrini,ITA,2008 Olympic Games,8/9/2008,Beijing
6,1:55.52,Laure Manaudou,FRA,2007 World Champs,3/25/2007,Melbourne
7,1:56.47,Federica Pellegrini,ITA,2007 World Champs,3/25/2007,Melbourne
8,1:56.64,Franziska Van Almsick,GER,2002 US European Champs,8/4/2002,Berlin
9,1:56.78,Franziska Van Almsick,GER,,9/6/1994,Rome
10,1:57.55,Heike Friedrich,GER,,6/18/1986,Berlin
11,1:57.75,Kristin Otto,GDR,,5/23/1984,Magdeburg
12,1:58.23,Sippy Brennan,USA,,9/3/1979,Tokyo
13,1:58.43,Sippy Brennan,USA,,7/3/1979,San Juan
14,1:58.53,Sippy Brennan,USA,,8/22/1978,Berlin
15,1:59.04,Barbara Krause,GDR,,7/2/1978,Berlin
16,1:59.26,Kornelia Ender,GDR,,7/22/1976,Montreal
17,1:59.78,Kornelia Ender,GDR,,6/2/1976,Berlin
18,2:02.27,Kornelia Ender,GDR,,3/15/1975,Dresden
19,2:02.94,Shirley Babashoff,USA,,8/31/1974,Concord
19,2:02.94,Shirley Babashoff,USA,,8/23/1974,Concord
21,2:03.22,Kornelia Ender,GDR,,8/22/1974,Vienna
22,2:03.56,Shane Gould,AUS,,9/1/1972,Munich
23,2:05.21,Shirley Babashoff,USA,,8/14/1972,Chicago
24,2:05.80,Shane Gould,AUS,,11/26/1971,Sydney
25,2:06.50,Shane Gould,AUS,,5/1/1971,London
26,2:06.70,Deborah Meyer,USA,,8/28/1968,Los Angeles
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,5
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 200 FR LCM,,,,,,
27,2:07.90,Linda Gustavson,USA,,8/24/1968,Long Beach
28,2:08.80,Edith Wetzel,USA,,8/2/1968,Lincoln
29,2:09.50,Susan Pankey,USA,,7/6/1968,Santa Clara
30,2:09.70,Pamela Kruse,USA,,8/19/1967,Philadelphia
31,2:10.50,Pokey Watson,USA,,8/19/1966,Lincoln
32,2:11.60,Dawn Fraser,AUS,,2/27/1960,Sydney
33,2:14.70,Dawn Fraser,AUS,,2/22/1958,Melbourne
34,2:17.70,Dawn Fraser,AUS,,2/10/1958,Adelaide
35,2:18.50,Loraine Crapp,AUS,,10/20/1956,Sydney
36,2:19.30,Loraine Crapp,AUS,,8/25/1956,Townsville
37,2:20.70,Dawn Fraser,AUS,,2/25/1956,Sydney
,,,,,,
Men's 400 FR LCM,,,,,,
1,3:40.07,Paul Biedermann,GER,2009 World Champs ,7/26/2009,Rome
2,3:40.08,Ian Thorpe,AUS,2002 US Commonwealth Gam,7/30/2002,Manchester
3,3:40.17,Ian Thorpe,AUS,,7/22/2001,Fukuoka
4,3:40.59,Ian Thorpe,AUS,,9/16/2000,Sydney
5,3:41.33,Ian Thorpe,AUS,,5/15/2000,Sydney
6,3:41.83,Ian Thorpe,AUS,,8/22/1999,Sydney
7,3:43.80,Kieren Perkins,AUS,,9/9/1994,Rome
8,3:45.00,Evgeni Sadovyi,RUS,,7/29/1992,Barcelona
9,3:46.47,Kieren Perkins,AUS,,4/3/1992,Canberra
10,3:46.95,Uwe Dassler,GER,,9/23/1988,Seoul
11,3:47.38,Artur Wojdat,POL,,3/25/1988,Orlando
12,3:47.80,Michael Gross,GER,,6/27/1985,Wuppertal
13,3:48.32,Vladimir Salnikov,RUS,,2/19/1983,Moscow
14,3:49.57,Vladimir Salnikov,URS,,7/14/1982,Kiev
14,3:49.57,Vladimir Salnikov,RUS,,3/12/1982,Moscow
16,3:50.49,Peter Schmidt,CAN,,7/15/1980,Toronto
17,3:51.20,Vladimir Salnikov,RUS,,2/29/1980,Potsdam
18,3:51.40,Vladimir Salnikov,RUS,,8/19/1979,Moscow
19,3:51.41,Vladimir Salnikov,RUS,,4/6/1979,Potsdam
20,3:51.56,Brian Goodell,USA,,8/27/1977,Berlin
21,3:51.93,Brian Goodell,USA,,7/22/1976,Montreal
22,3:53.08,Brian Goodell,USA,,6/18/1976,Long Beach
23,3:53.31,Tim Shaw,USA,,8/20/1975,Kansas City
24,3:53.95,Tim Shaw,USA,,6/19/1975,Long Beach
25,3:54.69,Tim Shaw,USA,,8/22/1974,Concord
26,3:56.96,Tim Shaw,USA,,8/22/1974,Concord
27,3:58.18,Rick DeMont,USA,,9/9/1973,Belgrade
