Rank,Time,Athlete,,,,,Team,,Meet Name,,,,Date,,,,
,,,,,,,Code,,,,,,Date,,,,
7,2:04.75,Rebecca Soni,,,,,USC,,2009 WOMENS PAC10 SWIMMING ,,,,2/25/2009,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 200 BR SCY,,,,,,,,,,,,,,,,,
1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,,,,
,,,,NCAA Division I Record Progressions,,,,,,,,,,Page,4,of,5
Rank,Time,Athlete,,,,,Team ,,Meet Name,,,,Swim,,,,
,,,,,,,Code,,,,,,Date,,,,
Men's 200 BR SCY,,,,,,,,,,,,,,,,,
1,1:47.91,Will Licon,,,,,TEX,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
2,1:48.12,Will Licon,,,,,TEX,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
3,1:48.66,Kevin Cordes,,,,,ARIZ,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
4,1:48.68,Kevin Cordes,,,,,ARIZ,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
5,1:49.79,Kevin Cordes,,,,,ARIZ,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
6,1:50.73,Kevin Cordes,,,,,ARIZ,,2012 AT&T Winter National Cham,,,,11/29/2012,,,,
7,1:51.40,Neil Versfeld,,,,,,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
,,,,,,,,,,,,,,,,,
Women's 100 FL SCY,,,,,,,,,,,,,,,,,
1,49.26,Louise Hansson,,,,,USC,,2019 NCAA DI Women's Champs,,,,3/22/2019,,,,
1,49.26,Maggie MacNeil,,,,,,,,,,,12/6/2019,,,,
3,49.34,Louise Hansson,,,,,USC,,2019 PAC-12 Women's Champs,,,,3/1/2019,,,,
4,49.43,Kelsi Dahlia,,,,,LOU,,2016 NCAA DI Womens,,,,3/18/2016,,,,
5,49.81,Kelsi Dahlia,,,,,LOU,,2015 NCAA D1 Womens ,,,,3/20/2015,,,,
6,49.89,Kelsi Dahlia,,,,,LOU,,2015 NCAA D1 Womens ,,,,3/20/2015,,,,
7,50.01,Natalie Hall,,,,,,,2002 Women's NCAA Champs,,,,3/21/2002,,,,
8,51.18,Natalie Hall,,,,,,,2001 Women's NCAA Champs,,,,3/15/2001,,,,
,,,,,,,,,,,,,,,,,
Men's 100 FL SCY,,,,,,,,,,,,,,,,,
1,42.80,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/23/2018,,,,
2,43.58,Caeleb Dressel,,,,,FLOR,,2017 NCAA DI Mens ,,,,3/24/2017,,,,
3,44.01,Joe Schooling,,,,,TEX,,2016 NCAA DI Mens ,,,,3/25/2016,,,,
4,44.18,Austin Staab,,,,,STAN,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
5,44.57,Albert Subirats,,,,,,,2007 NCAA DI Men's Championships,,,,3/15/2007,,,,
,,,,,,,,,,,,,,,,,
Women's 200 FL SCY,,,,,,,,,,,,,,,,,
1,1:49.51,Ella Eastin,,,,,STAN,,2018 PAC-12 WOMEN'S SWIMMING &,,,,2/24/2018,,,,
2,1:49.92,Elaine Breeden,,,,,STAN,,2009 WOMENS PAC10 SWIMMING ,,,,,,,,
,,,,,,,,,CHA,,,,2/25/2009,,,,
3,1:51.91,Natalie Hall,,,,,,,2002 SE Auburn Tiger Invite,,,,12/5/2002,,,,
,,,,,,,,,,,,,,,,,
Men's 200 FL SCY,,,,,,,,,,,,,,,,,
1,1:37.35,Jack Conger,,,,,TEX,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
2,1:37.97,Joe Schooling,,,,,TEX,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
3,1:39.33,Dylan Bosch,,,,,MICH,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
4,1:39.65,Tom Shields,,,,,CAL,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
5,1:40.31,Tom Shields,,,,,CAL,,2011 CA OB MENS PAC10 SWIMMING,,,,3/2/2011,,,,
6,1:40.75,Shaune Fraser,,,,,FLOR,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
,,,,,,,,,,,,,,,,,
Women's 200 IM SCY,,,,,,,,,,,,,,,,,
1,1:50.67,Ella Eastin,,,,,STAN,,2018 NCAA DI Womens Swim,,,,3/15/2018,,,,
2,1:51.65,Ella Eastin,,,,,STAN,,2016 NCAA DI Womens,,,,3/17/2016,,,,
3,1:51.77,Caitlin Leverenz,,,,,CAL,,2012 NCAA DI Women's ,,,,3/15/2012,,,,
,,,,,,,,,Championships,,,,,,,,
