Rank,Time,Athlete,Country,Meet Name,Swim,Location
8,02:22.4,Amanda Beard,USA,2004 US Olympic Trials,7/7/2004,Long Beach
9,02:23.0,Leisel Jones,AUS,,7/10/2004,Brisbane
10,02:23.0,Amanda Beard,USA,2003 World Champs,7/25/2003,Barcelona
10,02:23.0,Qi Hui,CHN,2001 Chinese Nationals,4/13/2001,Hangzhou
12,02:23.6,Penelope Heyns,RSA,,8/27/1999,Sydney
13,02:24.4,Penelope Heyns,RSA,,8/26/1999,Sydney
14,02:24.5,Penelope Heyns,RSA,,7/17/1999,Los Angeles
15,02:24.7,Penelope Heyns,RSA,,7/17/1999,Los Angeles
16,02:24.8,Rebecca Brown,AUS,,3/15/1994,Queensland
1/20/2020 7:18,,,Highlighted Record ,,,17
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 200 BR LCM,,,,,,
17,02:25.3,Anita Nall,USA,,3/2/1992,Indianapolis
18,02:25.9,Anita Nall,USA,,3/2/1992,Indianapolis
19,02:26.7,Silke Horner,GDR,,9/21/1988,Seoul
20,02:27.3,Allison Higson,CAN,,5/28/1988,Montreal
21,02:27.4,Silke Horner,GDR,,8/18/1986,Madrid
22,02:28.2,Sylvia Gerasch,GDR,,3/1/1986,Leningrad
23,02:28.3,Silke Horner,GDR,,6/5/1985,Liepzieg
24,02:28.4,Lina Kachusite,URS,,4/6/1979,Potsdam
25,02:31.1,Svetlana Varganova,URS,,3/30/1979,Minsk
26,02:31.4,Lina Kachusite,URS,,8/24/1978,Berlin
27,02:33.1,Lina Kachusite,URS,,8/24/1978,Berlin
28,02:33.3,Yuliya Bogdanova,URS,,4/7/1978,Leningrad
29,02:33.3,Marina Koshevaia,URS,,7/21/1976,Montreal
30,02:35.0,Karla Linke,GDR,,8/19/1974,Vienna
31,02:37.4,Karla Linke,GDR,,8/19/1974,Vienna
32,02:37.9,Anne-Katrin Schott,GDR,,7/6/1974,Rostock
33,02:38.5,Catherine Ball,USA,,8/26/1986,Los Angeles
34,02:39.5,Catherine Ball,USA,,8/20/1967,Philadelphia
35,02:40.5,Catherine Ball,USA,,7/9/1967,Santa Clara
36,02:40.8,Galina ,,,,Utrecht
,,Prosumenschikova,URS,,8/22/1966,
37,02:43.0,Irina Pozdyakova,URS,,7/16/1966,Moscow
38,02:44.6,Galina ,,,,Moscow
,,Prosumenschikova,URS,,3/23/1966,
39,02:45.3,Galina ,,,,Groningen
,,Prosumenschikova,URS,,9/12/1965,
40,02:45.4,Galina ,,,,Berlin
,,Prosumenschikova,URS,,5/17/1964,
41,02:47.7,Galina ,,,,Blackpool
,,Prosumenschikova,URS,,4/11/1964,
42,02:48.0,Karin Beyer,GDR,,8/5/1961,Budapest
43,02:49.5,Anita Lonsborough,GBR,,8/27/1960,Rome
44,02:50.2,Wiltrud Urselmann,GDR,,6/6/1960,Aachen
,,,,,,
Men's 50 FL LCM,,,,,,
1,22.27,Andrii Govorov,UKR,2018 Sette Colli Trophy,7/1/2018,Rome
2,22.43,Rafael Munoz,ESP,2008 Olympic Invite,4/5/2009,Malaga
3,22.96,Roland Schoeman,RSA,,7/25/2005,Montreal
4,23.01,Roland Schoeman,RSA,,7/24/2005,Montreal
5,23.3,Ian Crocker,USA,,2/29/2004,Austin
6,23.43,Matt Welsh,AUS,,7/21/2003,Barcelona
7,23.44,Geoff Huegill,AUS,,7/27/2001,Fukuoka
8,23.6,Geoff Huegill,AUS,,3/26/2000,Sydney
9,23.68,Denis Pankratov,RUS,,8/11/1996,Mulhouse
,,,,,,
Women's 50 FL LCM,,,,,,
1,24.43,Sarah Sjostrom,SWE,Swedish Championships,7/5/2014,Boras
2,25.07,Therese Alshammar,SWE,2009 World Champs ,7/31/2009,Rome
3,25.33,Marleen Veldhuis,NED,2008 Olympic Invite,4/19/2009,Amsterdam
4,25.46,Therese Alshammar,SWE,,6/13/2007,Barcelona
5,25.57,Anna-Karin Kammerling,SWE,,7/30/2002,Berlin
6,25.64,Inge De Bruijn,NED,,5/26/2000,Sheffield
1/20/2020 7:18,,,Highlighted Record ,,,18
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 50 FL LCM,,,,,,
7,25.83,Inge De Bruijn,NED,,5/20/2000,Monte Carlo
8,26.29,Anna-Karin Kammerling,SWE,,7/27/1999,Istanbul
9,26.39,Anna-Karin Kammerling,SWE,,7/9/1999,Halmstad
10,26.54,Inge De Bruijn,NED,,6/27/1996,Amersfoort
,,,,,,
Men's 100 FL LCM,,,,,,
1,49.5,Caeleb Dressel,USA,2019 World Champs,7/26/2019,Gwangju
2,49.82,Michael Phelps,USA,2009 World Champs ,8/1/2009,Rome
3,50.01,Milo Cavic,SRB,2009 World Champs ,7/26/2009,Rome
4,50.22,Michael Phelps,USA,2009 USA Swimming National Champs,7/9/2009,Indianapolis
5,50.4,Ian Crocker,USA,2005 World Champs,7/30/2005,Montreal
6,50.76,Ian Crocker,USA,2004 US Olympic Trials,7/13/2004,Long Beach
7,50.98,Ian Crocker,USA,2003 World Champs,7/26/2003,Barcelona
8,51.47,Michael Phelps,USA,2003 World Champs,7/25/2003,Barcelona
9,51.76,Andriy Serdinov,UKR,2003 World Champs,7/25/2003,Barcelona
10,51.81,Michael Klim,AUS,1999 Canberra Invitational,12/12/1999,Canberra
11,52.03,Michael Klim,AUS,,12/10/1999,Canberra
12,52.15,Michael Klim,AUS,,10/9/1997,Brisbane
13,52.27,Denis Pankratov,RUS,,7/24/1996,Atlanta
14,52.32,Denis Pankratov,RUS,,8/23/1995,Vienna
15,52.84,Pablo Morales,USA,,6/23/1986,Orlando
16,53.08,Michael Gross,GER,,7/30/1984,Los Angeles
17,53.38,Pablo Morales,USA,,6/26/1984,Indianapolis
18,53.44,Matt Gribble,USA,,8/6/1983,Clovis
19,53.81,William Paulus,USA,,4/3/1981,Austin
20,54.15,Par Arvidsson,USA,,4/11/1980,Austin
21,54.18,Joseph Bottom,USA,,8/27/1977,Berlin
22,54.27,Mark Spitz,USA,,8/31/1972,Munich
23,54.56,Mark Spitz,USA,,8/4/1972,Chicago
24,54.72,Mark Spitz,USA,,8/4/1972,Chicago
25,55,Mark Spitz,USA,,8/25/1971,Houston
26,55.6,Mark Spitz,USA,,8/30/1968,Long Beach
27,55.7,Mark Spitz,USA,,10/7/1967,Berlin
28,56.3,Douglas Russel,USA,,8/29/1967,Tokyo
28,56.3,Mark Spitz,USA,,7/31/1967,Winnipeg
30,57,Luis Nicolai,ARG,,4/27/1962,Rio de Janeiro
31,58.4,Luis Nicolai,ARG,,4/24/1962,Rio de Janeiro
32,58.6,Fred Schmidt,USA,,8/20/1961,Los Angeles
33,58.7,Lance Larson,USA,,7/24/1960,Toledo
34,59,Lance Larson,USA,,6/29/1960,Los Angeles
,,,,,,
Women's 100 FL LCM,,,,,,
1,55.48,Sarah Sjostrom,SWE,2016 Olympic Games,8/7/2016,Rio
2,55.64,Sarah Sjostrom,SWE,2015 World Champs,8/3/2015,Kazan
3,55.74,Sarah Sjostrom,SWE,2015 World Champs,8/2/2015,Kazan
4,55.98,Dana Vollmer,USA,2012 Olympic Games,7/29/2012,London
5,56.06,Sarah Sjostrom,SWE,2009 World Champs ,7/27/2009,Rome
6,56.44,Sarah Sjostrom,SWE,,7/26/2009,Rome
7,56.61,Inge De Bruijn,NED,2000 Olympic Games,8/1/2000,Sydney
8,56.64,Inge De Bruijn,NED,2000 PN Senior Regional,7/20/2000,Federal Way
1/20/2020 7:18,,,Highlighted Record ,,,19
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 100 FL LCM,,,,,,
9,56.69,Inge De Bruijn,NED,,5/28/2000,Sheffield
10,57.88,Jenny Thompson,USA,,8/23/1999,Sydney
11,57.93,Mary Meagher,USA,,8/16/1981,Brown Deer
12,59.26,Mary Meagher,USA,,4/11/1980,Austin
13,59.46,Andrea Pollack,GDR,,7/3/1978,Berlin
14,59.78,Christiane Knacke,GDR,,8/28/1977,Berlin
15,01:00.1,Kornelia Ender,GDR,,6/4/1976,Berlin
15,01:00.1,Kornelia Ender,GDR,,7/22/1976,Montreal
17,01:01.2,Kornelia Ender,GDR,,7/24/1975,Cali
18,01:01.3,Kornelia Ender,GDR,,6/9/1975,Wittenberg
19,01:01.9,Rosemarie Kother,GDR,,9/1/1974,Concord
20,01:02.0,Rosemarie Kother,GDR,,8/22/1974,Vienna
21,01:02.1,Rosemarie Kother,GDR,,8/21/1974,Vienna
22,01:02.3,Kornelia Ender,GDR,,7/14/1973,Berlin
23,01:03.0,Kornelia Ender,GDR,,4/14/1973,Berlin
24,01:03.3,Mayumi Aoki,JPN,,9/1/1972,Munich
25,01:03.8,Andrea Gyarmati,HUN,,8/31/1972,Munich
26,01:03.9,Mayumi Aoki,JPN,,7/21/1972,Tokyo
27,01:04.1,Alice Jones,USA,,8/20/1970,Los Angeles
28,01:04.5,Ada Kok,NED,,8/14/1965,Budapest
29,01:04.7,Sharon Stouder,USA,,8/16/1964,Tokyo
30,01:05.1,Ada Kok,NED,,5/30/1964,Blackpool
31,01:06.1,Ada Kok,NED,,9/1/1963,Soestduinen
32,01:06.5,Kathy Ellis,USA,,8/16/1963,High Point
33,01:07.3,Mary Stewart,CAN,,7/28/1962,Vancouver
34,01:07.8,Susan Doerr,USA,,8/12/1961,Philadelphia
35,01:08.2,Susan Doerr,USA,,8/12/1961,Philadelphia
36,01:08.8,Mary Stewart,CAN,,8/12/1961,Philadelphia
37,01:08.9,Janice Andrew,AUS,,4/2/1961,Tokyo
38,01:09.1,Nancy Ramey,USA,,9/2/1959,Chicago
39,01:09.6,Nancy Ramey,USA,,6/28/1958,Los Angeles
40,01:10.5,Atie Voorbij,NED,,8/4/1957,Rhenen
40,01:10.5,Atie Voorbij,NED,,11/12/1956,Hilversum
42,01:11.8,Shelley Mann,USA,,7/7/1956,Tyler
,,,,,,
Men's 200 FL LCM,,,,,,
1,01:50.7,Kristof Milak,HUN,2019 World Champs,7/24/2019,Gwangju
2,01:51.5,Michael Phelps,USA,2009 World Champs ,7/29/2009,Rome
3,01:52.0,Michael Phelps,USA,2008 Olympic Games,8/13/2008,Beijing
4,01:52.1,Michael Phelps,USA,2007 World Champs,3/28/2007,Melbourne
5,01:53.7,Michael Phelps,USA,2007 MV Mizzou Grand Prix,3/28/2007,Melbourne
6,01:53.8,Michael Phelps,USA,2006 Pan Pacific Champs,8/17/2006,Victoria
7,01:53.9,Michael Phelps,USA,2003 World Champs,7/22/2003,Barcelona
8,01:54.6,Michael Phelps,USA,2001 World Champs,7/24/2001,Fukuoka
9,01:54.9,Michael Phelps,USA,2001 Spring Nationals,3/30/2001,Austin
10,01:55.2,Tom Malchow,USA,2000 US Charlotte UltraSwim,6/17/2000,Charlotte
11,01:55.2,Denis Pankratov,RUS,,6/14/1995,Canet
12,01:55.7,Mel Stewart,USA,,1/12/1991,Perth
13,01:56.2,Michael Gross,FRG,,6/28/1986,Hannover
14,01:56.6,Michael Gross,FRG,,8/10/1985,Sofia
1/20/2020 7:18,,,Highlighted Record ,,,20
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 200 FL LCM,,,,,,
15,01:57.0,Michael Gross,FRG,,6/29/1985,Wuppertal
16,01:57.0,Jon Sieben,AUS,,8/3/1984,Los Angeles
17,01:57.0,Michael Gross,FRG,,8/26/1983,Rome
18,01:58.0,Craig Beardsley,USA,,8/22/1981,Kiey
19,01:58.2,Craig Beardsley,USA,,7/30/1980,Irvine
20,01:59.2,Mike Bruner,USA,,7/18/1976,Montreal
21,01:59.6,Roger Pyttel,FRG,,6/3/1976,Berlin
22,02:00.2,Roger Pyttel,FRG,,6/3/1976,Berlin
23,02:00.7,Mark Spitz,USA,,8/28/1972,Munich
24,02:01.5,Mark Spitz,USA,,8/2/1972,Chicago
25,02:01.9,Mark Spitz,USA,,8/2/1972,Chicago
26,02:03.3,Hans-Joachim ,,,,Landskrona
,,Fassnacht,FRG,,8/31/1971,
27,02:03.9,Mark Spitz,USA,,8/27/1971,Houston
28,02:05.0,Gary Hall,USA,,8/22/1970,Los Angeles
29,02:05.4,Mark Spitz,USA,,8/22/1970,Los Angeles
30,02:05.7,Mark Spitz,USA,,10/8/1967,Berlin
31,02:06.0,John Ferris,USA,,8/30/1967,Tokyo
32,02:06.4,Mark Spitz,USA,,8/12/1967,Oak Park
32,02:06.4,Mark Spitz,USA,,7/26/1967,Winnipeg
34,02:06.6,Kevin Berry,AUS,,10/18/1964,Tokyo
35,02:06.9,Kevin Berry,AUS,,3/29/1964,Sydney
36,02:08.2,Carl Robie,USA,,3/18/1963,Tokyo
,,,,,,
Women's 200 FL LCM,,,,,,
1,02:01.8,Liu Zige,CHN,2009 CHN International,10/21/2009,Jinan
2,02:03.4,Jessicah Schipper,AUS,2009 World Champs ,7/26/2009,Rome
3,02:04.1,Mary Descenza,USA,2009 World Champs ,7/26/2009,Rome
4,02:04.2,Liu Zige,CHN,2008 Olympic Games,8/14/2008,Beijing
5,02:05.4,Jessicah Schipper,AUS,2006 Pan Pacific Champs,8/17/2006,Victoria
6,02:05.6,Otylia Jedrzejczak,POL,2005 World Champs,7/28/2005,Montreal
7,02:05.8,Otylia Jedrzejczak,POL,2002 US European Champs,8/4/2002,Berlin
8,02:05.8,Susie O'Neill,AUS,,5/21/2000,Sydney
9,02:06.0,Mary Meagher,USA,,8/13/1981,Brown Beer
10,02:06.4,Mary Meagher,USA,,7/7/1980,Irvine
11,02:07.0,Mary Meagher,USA,,8/6/1979,FtLauderdale
12,02:08.4,Mary Meagher,USA,,8/6/1979,FtLauderdale
13,02:09.8,Mary Meagher,USA,,7/7/1979,San Juan
14,02:09.9,Tracy Caulkins,USA,,8/26/1978,Berlin
14,02:09.9,Andrea Pollack,GDR,,7/4/1978,Berlin
16,02:11.2,Andrea Pollack,GDR,,4/9/1978,Leningrad
17,02:11.2,Rosemarie Gabriel,GDR,,6/5/1976,Berlin
18,02:12.8,Rosemarie Gabriel,GDR,,6/4/1976,Berlin
19,02:13.6,Rosemarie Gabriel,GDR,,3/14/1976,Tallinn
20,02:13.8,Rosemarie Kother,GDR,,9/8/1973,Belgrade
21,02:15.4,Rosemarie Kother,GDR,,9/8/1973,Belgrade
22,02:15.6,Karen Moe,USA,,9/4/1972,Munich
23,02:16.6,Karen Moe,USA,,9/10/1972,Chicago
24,02:18.4,Ellie Daniel,USA,,8/28/1971,Houston
24,02:18.4,Ellie Daniel,USA,,9/10/1971,Houston
1/20/2020 7:18,,,Highlighted Record ,,,21
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 200 FL LCM,,,,,,
26,02:18.6,Karen Moe,USA,,8/7/1971,Santa Clara
27,02:19.3,Alice Jones,USA,,8/22/1970,Los Angeles
28,02:20.7,Karen Moe,USA,,7/11/1970,Santa Clara
29,02:21.0,Ada Kok,NED,,8/25/1967,Blackpool
30,02:22.5,Ada Kok,NED,,8/2/1967,Groningen
31,02:25.3,Ada Kok,NED,,9/12/1965,Groningen
32,02:25.8,Ada Kok,NED,,8/21/1965,Leiden
33,02:26.3,Kendis Drake,USA,,8/15/1965,Maumee
34,02:26.4,Sharon Stouder,USA,,8/2/1964,Los Altos
35,02:28.1,Sharon Stouder,USA,,7/12/1964,Los Angeles
36,02:29.1,Sue Anderson,USA,,7/27/1963,Philadelphia
37,02:30.7,Sharon Finneran,USA,,8/28/1962,Los Altos
38,02:31.2,Sharon Finneran,USA,,8/19/1962,Chicago
39,02:32.8,Rebecca Collins,USA,,8/13/1961,Philadelphia
,,,,,,
Men's 200 IM LCM,,,,,,
1,01:54.0,Ryan Lochte,USA,2011 World Champs,7/28/2011,Shanghai
2,01:54.1,Ryan Lochte,USA,2009 World Champs ,7/26/2009,Rome
3,01:54.2,Michael Phelps,USA,2008 Olympic Games,8/9/2008,Beijing
4,01:54.8,Michael Phelps,USA,2008 Olympic Trials,7/4/2008,Omaha
5,01:55.0,Michael Phelps,USA,2007 World Champs,3/29/2007,Melbourne
6,01:55.8,Michael Phelps,USA,2006 Pan Pacific Champs,8/20/2006,Victoria
7,01:55.9,Michael Phelps,USA,2003 ConocoPhillips Nationals,8/9/2003,College Park
8,01:56.0,Michael Phelps,USA,2003 World Champs,7/25/2003,Barcelona
9,01:57.5,Michael Phelps,USA,2003 World Champs,7/24/2003,Barcelona
10,01:57.9,Michael Phelps,,2003 PC Santa Clara XXXVI ,,Santa Clara
,,,USA,International,6/29/2003,
11,01:58.2,Jani Sievinen,FIN,,9/11/1994,Rome
12,01:59.4,Tamas Darnyi,HUN,,1/13/1991,Perth
13,02:00.1,Dave Wharton,USA,,8/20/1989,Tokyo
14,02:00.2,Tamas Darnyi,HUN,,9/25/1988,Seoul
15,02:00.6,Tamas Darnyi,HUN,,8/23/1987,Strasbourg
16,02:01.4,Alex Baumann,CAN,,8/4/1984,Los Angeles
17,02:02.3,Alex Baumann,CAN,,6/17/1984,Toronto
18,02:02.8,Alex Baumann,CAN,,7/29/1981,Heidelberg
19,02:03.0,Jeremy Reingold,RSA,,9/26/1980,Cape Town
20,02:03.2,Bill Barrett,USA,,8/1/1980,Irvine
21,02:03.3,Jesse Vassallo,USA,,7/6/1979,San Juan
22,02:03.7,Graham Smith,CAN,,8/24/1978,Berlin
23,02:04.4,Steve Lundquist,USA,,8/2/1978,Woodlands
24,02:05.2,Oleksandr Sydorenko,RUS,,7/9/1978,Moscow
25,02:05.3,Graham Smith,CAN,,8/4/1977,Montreal
26,02:06.1,Bruce Furniss,USA,,8/23/1975,Kansas City
27,02:06.3,Steven Furniss,USA,,9/1/1974,Concord
27,02:06.3,David Wilkie,GBR,,8/24/1974,Vienna
29,02:07.2,Gunnar Larsson,SWE,,9/3/1972,Munich
30,02:09.3,Gary Hall,USA,,8/6/1972,Chicago
30,02:09.3,Gunnar Larsson,SWE,,9/12/1970,Barcelona
32,02:09.5,Gary Hall,USA,,8/23/1970,Los Angeles
33,02:09.6,Gary Hall,USA,,8/17/1969,Louisville
1/20/2020 7:18,,,Highlighted Record ,,,22
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 200 IM LCM,,,,,,
34,02:10.6,Charles Hickcox,USA,,8/31/1968,Long Beach
35,02:11.3,Greg Buckingham,USA,,8/23/1967,Oak Park
36,02:12.4,Greg Buckingham,USA,,8/21/1966,Lincoln
,,,,,,
Women's 200 IM LCM,,,,,,
1,02:06.1,Katinka Hosszu,HUN,2015 World Champs,8/3/2015,Kazan
2,02:06.2,Ariana Kukors,USA,2009 World Champs ,7/27/2009,Rome
3,02:07.0,Ariana Kukors,USA,2009 World Champs ,7/26/2009,Rome
4,02:08.4,Stephanie Rice,AUS,2008 Olympic Games,8/13/2008,Beijing
5,02:08.9,Stephanie Rice,AUS,2008 AUS Olympic Trials,3/25/2008,Sydney
6,02:09.7,Wu Yanyan,CHN,1997 US Chinese National Games,10/17/1997,Shanghai
7,02:11.7,Lin Li,CHN,,7/30/1992,Barcelona
8,02:11.7,Ute Geweniger,GDR,,7/4/1981,Berlin
9,02:13.0,Petra Schneider,GDR,,5/24/1980,Magdeburg
10,02:13.7,Tracy Caulkins,USA,,1/5/1980,Austin
11,02:14.1,Tracy Caulkins,USA,,8/20/1978,West Berlin
12,02:15.1,Tracy Caulkins,USA,,8/2/1978,Woodlands
13,02:15.9,Ulrike Tauber,GDR,,8/28/1977,Berlin
14,02:15.9,Ulrike Tauber,GDR,,8/20/1977,Jonkoping
15,02:17.0,Ulrike Tauber,GDR,,7/10/1977,Leipzig
16,02:17.1,Kornelia Ender,GDR,,6/5/1976,Berlin
17,02:18.3,Ulrike Tauber,GDR,,3/12/1976,Tallinn
18,02:18.8,Ulrike Tauber,GDR,,6/10/1975,Wittenberg
19,02:19.0,Ulrike Tauber,GDR,,8/18/1974,Vienna
20,02:20.5,Andrea Hubner,GDR,,9/4/1973,Belgrade
21,02:23.0,Kornelia Ender,GDR,,4/13/1973,Berlin
22,02:23.1,Shane Gould,AUS,,8/28/1972,Munich
23,02:23.5,Claudia Kolb,USA,,8/25/1968,Los Angeles
24,02:25.0,Claudia Kolb,USA,,8/18/1967,Philadelphia
25,02:26.1,Claudia Kolb,USA,,7/30/1967,Winnipeg
26,02:27.5,Claudia Kolb,USA,,7/8/1967,Santa Clara
27,02:27.8,Claudia Kolb,USA,,8/21/1966,Lincoln
,,,,,,
Men's 400 IM LCM,,,,,,
1,04:03.8,Michael Phelps,USA,2008 Olympic Games,8/10/2008,Beijing
2,04:05.2,Michael Phelps,USA,2008 Olympic Trials,6/29/2008,Omaha
3,04:06.2,Michael Phelps,USA,2007 World Champs,4/1/2007,Melbourne
4,04:08.3,Michael Phelps,USA,2004 Olympic Games,8/14/2004,Athens
5,04:08.4,Michael Phelps,USA,2004 US Olympic Trials,7/7/2004,Long Beach
6,04:09.1,Michael Phelps,USA,2003 World Champs,7/27/2003,Barcelona
7,04:10.7,Michael Phelps,USA,2003 Mutual of Omaha Duel in the Pool ,4/6/2003,Indianapolis
8,04:11.1,Michael Phelps,USA,2002 US Phillips 66 Nationals,8/15/2002,FtLauderdale
9,04:11.8,Tom Dolan,USA,2000 Olympic Games,9/17/2000,Sydney
10,04:12.3,Tom Dolan,USA,,9/6/1994,Rome
11,04:12.4,Tamas Darnyi,HUN,,1/8/1991,Perth
12,04:14.7,Tamas Darnyi,HUN,,9/21/1988,Seoul
13,04:15.4,Tamas Darnyi,HUN,,8/19/1987,Strasbourg
14,04:16.1,Dave Wharton,USA,,8/14/1987,Brisbane
15,04:17.4,Alex Baumann,CAN,,7/30/1984,Los Angeles
16,04:17.5,Alex Baumann,CAN,,6/17/1984,Etobicoke
1/20/2020 7:18,,,Highlighted Record ,,,23
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 400 IM LCM,,,,,,
17,04:19.6,Jens-Peter Berndt,GDR,,5/23/1984,Magdeburg
18,04:19.8,Ricardo Prado,BRA,,8/2/1982,Guayaquil
19,04:20.0,Jesse Vassallo,USA,,8/22/1978,Berlin
20,04:23.4,Jesse Vassallo,USA,,8/4/1978,Woodlands
21,04:23.7,Rodney Strachan,USA,,7/25/1976,Montreal
22,04:26.0,Zoltan Verraszto,HUN,,4/2/1976,Long Beach
23,04:28.9,Hargitay Andras,HUN,,8/20/1974,Vienna
24,04:30.8,Gary Hall,USA,,8/3/1972,Chicago
25,04:31.0,Gary Hall,USA,,8/21/1970,Los Angeles
26,04:33.9,Gary Hall,USA,,8/15/1969,Louisville
27,04:38.7,Gary Hall,USA,,7/11/1969,Santa Clara
28,04:39.0,Charles Hickcox,USA,,8/30/1968,Long Beach
29,04:43.3,Charles Hickcox,USA,,8/30/1968,Long Beach
30,04:43.4,Gary Hall,USA,,7/20/1968,Los Angeles
31,04:45.1,Greg Buckingham,USA,,7/6/1968,Santa Clara
32,04:45.3,Andrei Dunaev,RUS,,4/3/1968,Tallinen
33,04:45.4,Dick Roth,USA,,10/14/1964,Tokyo
34,04:48.6,Dick Roth,USA,,7/31/1964,Los Altos
35,04:50.2,Gerhard Hetz,GDR,,10/12/1963,Moscow
36,04:51.0,Ted Stickles,USA,,7/12/1962,Louisville
37,04:51.4,Ted Stickles,USA,,6/30/1962,Chicago
38,04:53.8,Gerhard Hetz,GDR,,5/24/1962,Moscow
39,04:55.6,Ted Stickles,USA,,8/18/1961,Los Angeles
40,05:04.3,Ted Stickles,USA,,7/1/1961,Chicago
,,,,,,
Women's 400 IM LCM,,,,,,
1,04:26.4,Katinka Hosszu,HUN,2016 Olympic Games,8/6/2016,Rio
2,04:28.4,Ye Shiwen,CHN,2012 Olympic Games,7/28/2012,London
3,04:29.5,Stephanie Rice,AUS,2008 Olympic Games,8/10/2008,Beijing
4,04:31.1,Katie Hoff,USA,2008 Olympic Trials,6/29/2008,Omaha
5,04:31.5,Stephanie Rice,AUS,2008 AUS Olympic Trials,3/22/2008,Sydney
6,04:32.9,Katie Hoff,USA,2007 World Champs,4/1/2007,Melbourne
7,04:33.6,Yana Klochkova,UKR,2000 Olympic Games,9/16/2000,Sydney
8,04:34.8,Chen Yan,CHN,,10/13/1997,Shanghai
9,04:36.1,Petra Schneider,GDR,,8/1/1982,Guayaquil
10,04:36.3,Petra Schneider,GDR,,7/26/1980,Moscow
11,04:38.4,Petra Schneider,GDR,,5/27/1980,Magdeburg
12,04:40.0,Petra Schneider,GDR,,3/30/1980,Leningrad
13,04:40.8,Tracy Caulkins,USA,,8/23/1978,West Berlin
14,04:42.8,Ulrike Tauber,GDR,,7/24/1976,Montreal
15,04:48.8,Birgit Treiber,GDR,,6/1/1976,Berlin
16,04:52.2,Ulrike Tauber,GDR,,6/7/1975,Wittenberg
17,04:52.4,Ulrike Tauber,GDR,,8/21/1974,Vienna
18,04:57.5,Gudrum Wegner,GDR,,9/6/1973,Belgrade
19,05:01.1,Angela Franke,GDR,,8/18/1973,Utrecht
20,05:03.0,Gail Neall,AUS,,8/31/1972,Munich
21,05:04.7,Claudia Kolb,USA,,8/24/1968,Los Angeles
22,05:08.2,Claudia Kolb,USA,,8/19/1967,Philadelphia
23,05:09.7,Claudia Kolb,USA,,8/1/1967,Winnipeg
24,05:11.7,Claudia Kolb,USA,,7/9/1967,Santa Clara
1/20/2020 7:18,,,Highlighted Record ,,,24
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 400 IM LCM,,,,,,
25,05:14.9,Donna de Varona,USA,,8/30/1964,New York
26,05:16.5,Donna de Varona,USA,,3/10/1964,Lima
27,05:21.9,Sharon Finneran,USA,,7/28/1962,Osaka
28,05:24.7,Donna de Varona,USA,,7/26/1962,Osaka
29,05:27.4,Sharon Finneran,USA,,7/26/1962,Osaka
30,05:29.7,Donna de Varona,USA,,6/2/1962,Los Altos
31,05:34.5,Donna de Varona,USA,,8/11/1961,Philadelphia
32,05:36.5,Donna de Varona,USA,,7/15/1960,Indianapolis
,,,,,,
Men's 400 FR-R LCM,,,,,,
1,03:08.2,Michael Phelps,USA,,8/11/2008,Beijing
,,,,,,
Women's 400 FR-R LCM,,,,,,
1,03:30.0,Shayna Jack,AUS,,4/5/2018,Gold Coast
2,03:30.7,Emma McKeon,,,8/6/2016,Rio
3,03:31.0,Bronte Campbell,AUS,,7/24/2014,Glasgow
4,03:31.7,Inge Dekker,NED,,7/26/2009,Rome
,,,,,,
Mixed 400 FR-R LCM,,,,,,
1,03:19.4,Caeleb Dressel,USA,,7/27/2019,Gwangju
2,03:19.6,Caeleb Dressel,USA,,7/29/2017,Budapest
3,03:23.0,Ryan Lochte,USA,,8/8/2015,Kazan
,,,,,,
Men's 800 FR-R LCM,,,,,,
1,06:58.6,Michael Phelps,USA,,7/31/2009,Rome
,,,,,,
Women's 800 FR-R LCM,,,,,,
1,07:41.5,Ariarne Titmus,AUS,,7/28/2019,Gwangju
2,07:42.1,Yang Yu,CHN,,7/30/2009,Rome
,,,,,,
Men's 400 MED-R LCM,,,,,,
1,03:27.3,Aaron Peirsol,USA,,8/2/2009,Rome
,,,,,,
Women's 400 MED-R LCM,,,,,,
1,03:50.4,Regan Smith,USA,,7/28/2019,Gwangju
2,03:51.5,Kathleen Baker,USA,,7/30/2017,Budapest
3,03:52.0,Missy Franklin,USA,,8/4/2012,London
,,,,,,
Mixed 400 MED-R LCM,,,,,,
1,03:38.6,Matt Grevers,USA,,7/26/2017,Budapest
2,03:40.3,Ryan Murphy,USA,,7/26/2017,Budapest
